,theme,num_mentions,rank
771,RUNNING_MATE,66728,773
772,COMPETITION_POLICY,66681,774
773,POWER_OUTAGE,66437,775
774,AMNESTY_INTERNATIONAL,66302,776
775,ARTILLERY,66079,777
776,INSPECTOR_GENERAL,65885,778
777,PUBLISHER,65639,779
778,SERGEANT,65516,780
779,PHYSICIAN,65288,781
780,CLERIC,64776,782
781,HUMANS,64438,783
782,AUSTRALIANS,64288,784
783,RELATIONS,64232,785
784,NEW_CONSTRUCTION,64165,786
785,GENOCIDE,64146,787
786,GOVERNANCE_AND_STEWARDSHIP,64032,788
787,HEALTH_LAWS_AND_REGULATIONS,64005,789
788,GRADUATION,63892,790
789,PILOTS,63592,791
790,POLISH,63576,792
791,GROUP_ISIL,63331,793
792,DELEGATE,63237,794
793,POWER_SYSTEMS,63008,795
794,BUSINESS_LEADERS,62859,796
795,COMMUNICABLE_DISEASE,62777,797
796,ANTITRUST,62717,798
797,MILITARY_PERSONNEL,62561,799
798,FREETRADEAGREEMENTS_FREE_TRADE_AGREEMENT,62420,800
799,MARSHALL,62391,801
800,TERTIARY_EDUCATION,62344,802
801,GREEN,62133,803
802,FILIPINO,62061,804
803,MANAGING_DIRECTOR,61963,805
804,LEASING,61947,806
805,SOLAR,61940,807
806,CIVILLIAN_POLICE_AND_SECURITY_SERVICES,61215,808
807,HATE_SPEECH,61175,809
808,KILLERS,61109,810
809,EXECUTIVE_OFFICER,61038,811
810,BISHOPS,60979,812
811,DEBT_CEILING_GOV_SHUTDOWN,60696,813
812,SCHOLAR,60513,814
813,PEERS,60375,815
814,ECONOMIST,60277,816
815,COMMISSIONERS,60250,817
816,SANITATION_AND_WASTEWATER,60024,818
817,MONEYLAUNDERING,59935,819
818,MANUFACTURER,59429,820
819,VENEZUELAN,59403,821
820,MONEY_LAUNDERING,59109,822
821,CHIEF_JUSTICE,59084,823
822,NEGOTIATOR,59026,824
823,TROOPERS,58996,825
824,MONETARY_POLICY,58875,826
825,DIPLOMRECOG,58841,827
826,LEFTIST,58762,828
827,HORSE,58704,829
828,WOLF,58680,830
829,COLONEL,58648,831
830,JUSTICE_SYSTEM_ADMINISTRATION,58577,832
831,TELECOM,58423,833
832,WORLD_HEALTH_ORGANIZATION,58169,834
833,ORGANIZER,58130,835
834,HINDU,57820,836
835,BROKER,57610,837
836,BANKING_INSTITUTIONS,57591,838
837,ELECTION_FRAUD,57591,838
838,PRIVATIZATION,57386,840
839,HISTORIAN,57096,841
840,PISTOL,56954,842
841,EPIDEMIC,56932,843
842,OIL_AND_GAS_SYSTEMS,56920,844
843,MOVEMENT_SOCIAL,56847,845
844,PRIESTS,56729,846
845,BANKRUPTCY,56624,847
846,COOPERATION,56573,848
847,SCHOLARS,56481,849
848,CHIEF_EXECUTIVE_OFFICER,56407,850
849,EARTHQUAKE,55892,851
850,REFUGEE_CAMP,55794,852
851,PARTY_COMMUNIST_PARTY,55749,853
852,WITCH,55624,854
853,LEVEES,55582,855
854,ABUSES_TORTURED,55457,856
855,TITLE_COLONEL,55300,857
856,MENTAL_ILLNESS,55283,858
857,WILDFIRES,55197,859
858,MOSQUES,55120,860
859,BOARD_MEMBER,55029,861
860,HACKERS,55005,862
861,BUDDHIST,54830,863
862,MEAT,54821,864
863,EUROPEANS,54777,865
864,MOVEMENT_OTHER,54691,866
865,CARDINAL,54670,867
866,CHAIRWOMAN,54652,868
867,ASSASSINATION,54652,868
868,POLICEMEN,54600,870
869,PUBLIC_SERVICE_DELIVERY,54567,871
870,SELF_IDENTIFIED_HATE_CRIME,54539,872
871,WILDFIRE,54457,873
872,COUNSELOR,54052,874
873,BLACKS,54008,875
874,TRAFFICACCIDENT,54003,876
875,POLITICAL_LEADERS,53929,877
876,EDITORS,53918,878
877,CONFISCATION,53756,879
878,STAFFER,53622,880
879,BACHELOR,53253,881
880,HUMAN_RIGHTS_WATCH,53160,882
881,AIR_FORCE_BASE,52784,883
882,AMBASSADORS,52778,884
883,MEDICAL_EXAMINER,52616,885
884,ULTIMATUM,52480,886
885,SCOTTISH,52432,887
886,INSPECTORS,52347,888
887,DIABETES,52346,889
888,FIREFIGHTER,52037,890
889,TITLE_SERGEANT,51836,891
890,TRADE_DISPUTE,51623,892
891,AVIATION_INCIDENT,51383,893
892,SWEDISH,51210,894
893,ANIMAL_PRODUCTION,51150,895
894,DROWNED,51137,896
895,LEGISLATOR,51114,897
896,MIDDLECLASS,50864,898
897,ROAD_INCIDENT,50842,899
898,EMERGINGTECH,50773,900
899,POLICEMAN,50735,901
900,RETIREMENTS,50650,902
901,BELGIAN,50608,903
902,CENTRALBANK,50393,904
903,GROUP_BOKO_HARAM,50228,905
904,ANTICARTEL_ENFORCEMENT,50146,906
905,DEFECTION,49969,907
906,DEPRESSION,49958,908
907,SETTLERS,49939,909
908,NATIVE_AMERICAN,49836,910
909,HIGH_COMMISSIONER,49810,911
910,SEPARATIST,49781,912
911,WEAPONS_PROLIFERATION_AND_ARMS_CONTROL,49718,913
912,FLOODS,49664,914
913,PUBLIC_DEFENDER,49610,915
914,CARTELS,49545,916
915,ARMORED,49514,917
916,KURDS,49457,918
917,CLERGY,49088,919
918,TREASON,48453,920
919,CRIME_LOOTING,48401,921
920,CRM_ARSON,48341,922
921,CHIEFS_OF_STAFF,48324,923
922,CENTRAL_BANKS,48293,924
923,INFECTION,48288,925
924,REPATRIATION,48191,926
925,MILITARY_BASE,48157,927
926,EDUCATORS,48079,928
927,SERVANTS,48055,929
928,HOUTHI,48009,930
929,COMEDIAN,48001,931
930,MONEY,47937,932
931,HOUSING_FINANCE,47935,933
932,TREASURER,47904,934
933,PHYSICIANS,47816,935
934,POLICE_COMMISSIONER,47547,936
935,HUMAN_TRAFFICKING,47534,937
936,NURSES,47480,938
937,GENERALS,47467,939
938,DROUGHT,47202,940
939,TROOPER,46733,941
940,FUNDAMENTAL_AREAS_OF_THE_LAW,46358,942
941,BOARD_MEMBERS,46331,943
942,BUDGET_DEFICIT,46273,944
943,FREETRADEAGREEMENTS_NORTH_AMERICAN_FREE_TRADE_AGREEMENT,46212,945
944,FREETRADEAGREEMENTS_NAFTA,46170,946
945,ARABS,45817,947
946,INSURGENT,45801,948
947,ARCHITECT,45777,949
948,INTERNATIONAL_ORGANIZATION_FOR_MIGRATION,45648,950
949,POLITICO,45611,951
950,PARAMEDICS,45526,952
951,MILK,45454,953
952,POISONING,45370,954
953,GROUP_AL_QAEDA,45036,955
954,GENERAL_MANAGER,44999,956
955,SECRETARIES,44981,957
956,EURO,44970,958
957,INFO_HOAX,44770,959
958,DESIGNER,44690,960
959,GREEKS,44651,961
960,OPEN_GOVERNMENT_AND_TRANSPARENCY,44644,962
961,ORTHODOX,44639,963
962,DEALER,44585,964
963,MASON,44441,965
964,RIGHT_TO_INFORMATION,44429,966
965,DRILL,44175,967
966,SOLICITOR,43804,968
967,POLARIZED,43701,969
968,OIL_AND_GAS_PIPELINE,43694,970
969,SHIITES,43619,971
970,PUBLIC_EMPLOYMENT_SERVICES,43562,972
971,ENTREPRENEUR,43471,973
972,MINIMUM_WAGES,43367,974
973,CREW_MEMBERS,43340,975
974,STATE_SENATOR,43255,976
975,INEQUALITY,43248,977
976,SUICIDE_BOMBER,43127,978
977,EXPRESSSUPPORT,43109,979
978,WATER_SUPPLY,43035,980
979,PORTUGUESE,43026,981
980,ABUSES_HUMAN_RIGHTS_ABUSES,43005,982
981,NUCLEAR_ENERGY,42978,983
982,MARSHAL,42755,984
983,EBOLA,42514,985
984,PORTER,42509,986
985,PROFESSORS,42488,987
986,SKILLS_AND_EDUCATION,42487,988
987,FEDERAL_AGENTS,42249,989
988,CHRISTIANITY,42246,990
989,SUSTAINABLE_GROWTH,42197,991
990,PROPERTY,42060,992
991,PARAMILITARIES,42027,993
992,SPECIAL_AGENT,41902,994
993,BRUNEI,41818,995
994,METHODIST,41708,996
995,SERVANT,41678,997
996,PIRACY,41676,998
997,CONVENTIONAL,41537,999
998,PROPHET,41335,1000
